"# Raw surface EMG excerpt, Santuz et al. 2021, CC BY 4.0"
# source,https://doi.org/10.5281/zenodo.5171823
# trial,ID0001_M_YOUNG_TW_01
# sampling_rate_hz,1000
# units,millivolt
# touchdown_s,0.6990;1.7410;2.7830;3.8240;4.8830;5.9240;6.9580;7.9990
# regenerate,python scripts/extract_emg_demo.py
time_s,ta_mv,gm_mv,rf_mv
0.32800,0.033651,0.019243,-0.009251
0.32900,0.050327,0.001272,-0.012004
0.33000,-0.074334,0.001758,0.007100
0.33100,0.009205,0.001434,0.064574
0.33200,0.074773,-0.001966,0.047251
0.33300,0.045632,-0.011356,0.005967
0.33400,0.035108,-0.003909,-0.012813
0.33500,0.002729,-0.000347,-0.028679
0.33600,-0.008766,0.000139,-0.043250
0.33700,0.011633,-0.005528,-0.035155
0.33800,0.026690,-0.006337,-0.044869
0.33900,-0.039040,-0.002452,-0.040335
0.34000,-0.055230,0.001272,-0.032726
0.34100,-0.037259,-0.001318,-0.021555
0.34200,-0.129379,0.004672,-0.012327
0.34300,-0.197052,0.011310,0.004024
0.34400,0.036404,0.012119,-0.000671
0.34500,0.197005,0.010014,-0.003099
0.34600,0.127390,0.010176,0.002567
0.34700,0.030575,0.003539,-0.007147
0.34800,-0.028355,0.006615,-0.002290
0.34900,-0.034345,0.013090,-0.002452
0.35000,-0.006985,0.009691,0.005481
0.35100,0.021023,0.010662,0.009691
0.35200,0.053403,0.011795,0.001920
0.35300,0.019890,0.012281,0.000624
0.35400,-0.024308,0.014062,-0.001318
0.35500,-0.011518,0.009529,-0.009899
0.35600,0.000624,0.011957,0.003700
0.35700,-0.005042,0.015843,0.002891
0.35800,-0.008280,0.018271,-0.004394
0.35900,0.011471,0.016166,-0.002452
0.36000,-0.030460,0.013738,0.001434
0.36100,-0.114322,0.003215,-0.005204
0.36200,-0.068182,0.001110,-0.011842
0.36300,0.007424,0.010338,-0.017022
0.36400,-0.038069,0.015681,-0.003909
0.36500,-0.015889,0.012119,-0.000833
0.36600,-0.015403,0.015357,0.002405
0.36700,-0.021555,0.015357,0.002243
0.36800,-0.000185,0.014548,-0.005851
0.36900,-0.015565,0.008072,0.004024
0.37000,-0.000833,0.016328,-0.000833
0.37100,-0.024308,0.015357,0.009853
